,연도,월,국가,상품,가격($만달러)
45,2006,10,US TOTAL,BEEF,223640.0
46,2006,11,US TOTAL,BEEF,222660.0
47,2006,12,US TOTAL,BEEF,204960.0
48,2007,1,US TOTAL,BEEF,216600.0
49,2007,2,US TOTAL,BEEF,195250.0
50,2007,3,US TOTAL,BEEF,211820.0
51,2007,4,US TOTAL,BEEF,201500.0
52,2007,5,US TOTAL,BEEF,228510.0
53,2007,6,US TOTAL,BEEF,234850.0
54,2007,7,US TOTAL,BEEF,225670.0
55,2007,8,US TOTAL,BEEF,245060.0
56,2007,9,US TOTAL,BEEF,209470.0
57,2007,10,US TOTAL,BEEF,244300.0
58,2007,11,US TOTAL,BEEF,222880.0
59,2007,12,US TOTAL,BEEF,206140.0
60,2008,1,US TOTAL,BEEF,223270.0
61,2008,2,US TOTAL,BEEF,203860.0
62,2008,3,US TOTAL,BEEF,210050.0
63,2008,4,US TOTAL,BEEF,225540.0
64,2008,5,US TOTAL,BEEF,238010.0
65,2008,6,US TOTAL,BEEF,226340.0
66,2008,7,US TOTAL,BEEF,237160.0
67,2008,8,US TOTAL,BEEF,226680.0
68,2008,9,US TOTAL,BEEF,226990.0
69,2008,10,US TOTAL,BEEF,234090.0
70,2008,11,US TOTAL,BEEF,195930.0
71,2008,12,US TOTAL,BEEF,208200.0
72,2009,1,US TOTAL,BEEF,211790.0
73,2009,2,US TOTAL,BEEF,198600.0
74,2009,3,US TOTAL,BEEF,214400.0
75,2009,4,US TOTAL,BEEF,213340.0
76,2009,5,US TOTAL,BEEF,217940.0
77,2009,6,US TOTAL,BEEF,228900.0
78,2009,7,US TOTAL,BEEF,227120.0
79,2009,8,US TOTAL,BEEF,218420.0
80,2009,9,US TOTAL,BEEF,223410.0
81,2009,10,US TOTAL,BEEF,227570.0
82,2009,11,US TOTAL,BEEF,201610.0
83,2009,12,US TOTAL,BEEF,213440.0
84,2010,1,US TOTAL,BEEF,208180.0
85,2010,2,US TOTAL,BEEF,195520.0
86,2010,3,US TOTAL,BEEF,221120.0
87,2010,4,US TOTAL,BEEF,213920.0
88,2010,5,US TOTAL,BEEF,208720.0
89,2010,6,US TOTAL,BEEF,232000.0
90,2010,7,US TOTAL,BEEF,222960.0
91,2010,8,US TOTAL,BEEF,228660.0
92,2010,9,US TOTAL,BEEF,225220.0
93,2010,10,US TOTAL,BEEF,223490.0
94,2010,11,US TOTAL,BEEF,223550.0
95,2010,12,US TOTAL,BEEF,227090.0
96,2011,1,US TOTAL,BEEF,212290.0
97,2011,2,US TOTAL,BEEF,202040.0
98,2011,3,US TOTAL,BEEF,226620.0
99,2011,4,US TOTAL,BEEF,205250.0
100,2011,5,US TOTAL,BEEF,213190.0
101,2011,6,US TOTAL,BEEF,237500.0
102,2011,7,US TOTAL,BEEF,213410.0
103,2011,8,US TOTAL,BEEF,238690.0
104,2011,9,US TOTAL,BEEF,221520.0
105,2011,10,US TOTAL,BEEF,221510.0
106,2011,11,US TOTAL,BEEF,214880.0
107,2011,12,US TOTAL,BEEF,212630.0
108,2012,1,US TOTAL,BEEF,211310.0
109,2012,2,US TOTAL,BEEF,200890.0
110,2012,3,US TOTAL,BEEF,215950.0
111,2012,4,US TOTAL,BEEF,199060.0
112,2012,5,US TOTAL,BEEF,223190.0
113,2012,6,US TOTAL,BEEF,225070.0
114,2012,7,US TOTAL,BEEF,220140.0
115,2012,8,US TOTAL,BEEF,236860.0
116,2012,9,US TOTAL,BEEF,201550.0
117,2012,10,US TOTAL,BEEF,234480.0
118,2012,11,US TOTAL,BEEF,220750.0
119,2012,12,US TOTAL,BEEF,202010.0
120,2013,1,US TOTAL,BEEF,226130.0
121,2013,2,US TOTAL,BEEF,187340.0
122,2013,3,US TOTAL,BEEF,203980.0
123,2013,4,US TOTAL,BEEF,212860.0
124,2013,5,US TOTAL,BEEF,222760.0
125,2013,6,US TOTAL,BEEF,215700.0
126,2013,7,US TOTAL,BEEF,229410.0
127,2013,8,US TOTAL,BEEF,224120.0
128,2013,9,US TOTAL,BEEF,207380.0
129,2013,10,US TOTAL,BEEF,231820.0
130,2013,11,US TOTAL,BEEF,205760.0
131,2013,12,US TOTAL,BEEF,204730.0
132,2014,1,US TOTAL,BEEF,214090.0
133,2014,2,US TOTAL,BEEF,178840.0
134,2014,3,US TOTAL,BEEF,193700.0
135,2014,4,US TOTAL,BEEF,204310.0
136,2014,5,US TOTAL,BEEF,207170.0
137,2014,6,US TOTAL,BEEF,206900.0
138,2014,7,US TOTAL,BEEF,208740.0
139,2014,8,US TOTAL,BEEF,202350.0
140,2014,9,US TOTAL,BEEF,206840.0
141,2014,10,US TOTAL,BEEF,217110.0
142,2014,11,US TOTAL,BEEF,184950.0
143,2014,12,US TOTAL,BEEF,200020.0
144,2015,1,US TOTAL,BEEF,196350.0
145,2015,2,US TOTAL,BEEF,176810.0
146,2015,3,US TOTAL,BEEF,193330.0
147,2015,4,US TOTAL,BEEF,192880.0
148,2015,5,US TOTAL,BEEF,192550.0
149,2015,6,US TOTAL,BEEF,200160.0
150,2015,7,US TOTAL,BEEF,204680.0
151,2015,8,US TOTAL,BEEF,193490.0
152,2015,9,US TOTAL,BEEF,208660.0
153,2015,10,US TOTAL,BEEF,212630.0
154,2015,11,US TOTAL,BEEF,193610.0
155,2015,12,US TOTAL,BEEF,204630.0
156,2016,1,US TOTAL,BEEF,195420.0
157,2016,2,US TOTAL,BEEF,188600.0
158,2016,3,US TOTAL,BEEF,209730.0
159,2016,4,US TOTAL,BEEF,196400.0
160,2016,5,US TOTAL,BEEF,203020.0
161,2016,6,US TOTAL,BEEF,219300.0
162,2016,7,US TOTAL,BEEF,202420.0
163,2016,8,US TOTAL,BEEF,226580.0
164,2016,9,US TOTAL,BEEF,218150.0
165,2016,10,US TOTAL,BEEF,221120.0
166,2016,11,US TOTAL,BEEF,224020.0
167,2016,12,US TOTAL,BEEF,217330.0
168,2017,1,US TOTAL,BEEF,211930.0
169,2017,2,US TOTAL,BEEF,193390.0
170,2017,3,US TOTAL,BEEF,224970.0
171,2017,4,US TOTAL,BEEF,196310.0
172,2017,5,US TOTAL,BEEF,216340.0
173,2017,6,US TOTAL,BEEF,228030.0
174,2017,7,US TOTAL,BEEF,210790.0
175,2017,8,US TOTAL,BEEF,240210.0
176,2017,9,US TOTAL,BEEF,222560.0
177,2017,10,US TOTAL,BEEF,230300.0
178,2017,11,US TOTAL,BEEF,229060.0
179,2017,12,US TOTAL,BEEF,214840.0
180,2018,1,US TOTAL,BEEF,227900.0
181,2018,2,US TOTAL,BEEF,198390.0
182,2018,3,US TOTAL,BEEF,220350.0
183,2018,4,US TOTAL,BEEF,211770.0
184,2018,5,US TOTAL,BEEF,230700.0
185,2018,6,US TOTAL,BEEF,230090.0
186,2018,7,US TOTAL,BEEF,223160.0
187,2018,8,US TOTAL,BEEF,242960.0
188,2018,9,US TOTAL,BEEF,215750.0
189,2018,10,US TOTAL,BEEF,243060.0
190,2018,11,US TOTAL,BEEF,231510.0
191,2018,12,US TOTAL,BEEF,211600.0
192,2019,1,US TOTAL,BEEF,230890.0
193,2019,2,US TOTAL,BEEF,198760.0
194,2019,3,US TOTAL,BEEF,211770.0
195,2019,4,US TOTAL,BEEF,226150.0
196,2019,5,US TOTAL,BEEF,232790.0
197,2019,6,US TOTAL,BEEF,222460.0
198,2019,7,US TOTAL,BEEF,235990.0
199,2019,8,US TOTAL,BEEF,237350.0
200,2019,9,US TOTAL,BEEF,218930.0
201,2019,10,US TOTAL,BEEF,243810.0
202,2019,11,US TOTAL,BEEF,229700.0
203,2019,12,US TOTAL,BEEF,226500.0
